<Car: AMC Ambassador Brougham, MPG: 13.0, Cylinders: 8, Displacement: 360.0, Horsepower: 175.0, Weight: 3821.0, Acceleration: 11.0, Model: 73, Origin: US>
<Car: AMC Ambassador DPL, MPG: 15.0, Cylinders: 8, Displacement: 390.0, Horsepower: 190.0, Weight: 3850.0, Acceleration: 8.5, Model: 70, Origin: US>
<Car: AMC Ambassador SST, MPG: 17.0, Cylinders: 8, Displacement: 304.0, Horsepower: 150.0, Weight: 3672.0, Acceleration: 11.5, Model: 72, Origin: US>
<Car: AMC Concord, MPG: 19.4, Cylinders: 6, Displacement: 232.0, Horsepower: 90.0, Weight: 3210.0, Acceleration: 17.2, Model: 78, Origin: US>
<Car: AMC Concord, MPG: 24.3, Cylinders: 4, Displacement: 151.0, Horsepower: 90.0, Weight: 3003.0, Acceleration: 20.1, Model: 80, Origin: US>
<Car: AMC Concord DL, MPG: 23.0, Cylinders: 4, Displacement: 151.0, Horsepower: 0.0, Weight: 3035.0, Acceleration: 20.5, Model: 82, Origin: US>
<Car: AMC Concord DL 6, MPG: 20.2, Cylinders: 6, Displacement: 232.0, Horsepower: 90.0, Weight: 3265.0, Acceleration: 18.2, Model: 79, Origin: US>
<Car: AMC Concord d/l, MPG: 18.1, Cylinders: 6, Displacement: 258.0, Horsepower: 120.0, Weight: 3410.0, Acceleration: 15.1, Model: 78, Origin: US>
<Car: AMC Gremlin, MPG: 21.0, Cylinders: 6, Displacement: 199.0, Horsepower: 90.0, Weight: 2648.0, Acceleration: 15.0, Model: 70, Origin: US>
<Car: AMC Gremlin, MPG: 19.0, Cylinders: 6, Displacement: 232.0, Horsepower: 100.0, Weight: 2634.0, Acceleration: 13.0, Model: 71, Origin: US>
<Car: AMC Gremlin, MPG: 18.0, Cylinders: 6, Displacement: 232.0, Horsepower: 100.0, Weight: 2789.0, Acceleration: 15.0, Model: 73, Origin: US>
<Car: AMC Gremlin, MPG: 20.0, Cylinders: 6, Displacement: 232.0, Horsepower: 100.0, Weight: 2914.0, Acceleration: 16.0, Model: 75, Origin: US>
<Car: AMC Hornet, MPG: 18.0, Cylinders: 6, Displacement: 199.0, Horsepower: 97.0, Weight: 2774.0, Acceleration: 15.5, Model: 70, Origin: US>
<Car: AMC Hornet, MPG: 18.0, Cylinders: 6, Displacement: 232.0, Horsepower: 100.0, Weight: 2945.0, Acceleration: 16.0, Model: 73, Origin: US>
<Car: AMC Hornet, MPG: 19.0, Cylinders: 6, Displacement: 232.0, Horsepower: 100.0, Weight: 2901.0, Acceleration: 16.0, Model: 74, Origin: US>
<Car: AMC Hornet, MPG: 22.5, Cylinders: 6, Displacement: 232.0, Horsepower: 90.0, Weight: 3085.0, Acceleration: 17.6, Model: 76, Origin: US>
<Car: AMC Hornet Sportabout (sw), MPG: 18.0, Cylinders: 6, Displacement: 258.0, Horsepower: 110.0, Weight: 2962.0, Acceleration: 13.5, Model: 71, Origin: US>
<Car: AMC Matador, MPG: 18.0, Cylinders: 6, Displacement: 232.0, Horsepower: 100.0, Weight: 3288.0, Acceleration: 15.5, Model: 71, Origin: US>
<Car: AMC Matador, MPG: 14.0, Cylinders: 8, Displacement: 304.0, Horsepower: 150.0, Weight: 3672.0, Acceleration: 11.5, Model: 73, Origin: US>
<Car: AMC Matador, MPG: 16.0, Cylinders: 6, Displacement: 258.0, Horsepower: 110.0, Weight: 3632.0, Acceleration: 18.0, Model: 74, Origin: US>
<Car: AMC Matador, MPG: 15.0, Cylinders: 6, Displacement: 258.0, Horsepower: 110.0, Weight: 3730.0, Acceleration: 19.0, Model: 75, Origin: US>
<Car: AMC Matador, MPG: 15.5, Cylinders: 8, Displacement: 304.0, Horsepower: 120.0, Weight: 3962.0, Acceleration: 13.9, Model: 76, Origin: US>
<Car: AMC Matador (sw), MPG: 15.0, Cylinders: 8, Displacement: 304.0, Horsepower: 150.0, Weight: 3892.0, Acceleration: 12.5, Model: 72, Origin: US>
<Car: AMC Matador (sw), MPG: 14.0, Cylinders: 8, Displacement: 304.0, Horsepower: 150.0, Weight: 4257.0, Acceleration: 15.5, Model: 74, Origin: US>
<Car: AMC Pacer, MPG: 19.0, Cylinders: 6, Displacement: 232.0, Horsepower: 90.0, Weight: 3211.0, Acceleration: 17.0, Model: 75, Origin: US>
<Car: AMC Pacer d/l, MPG: 17.5, Cylinders: 6, Displacement: 258.0, Horsepower: 95.0, Weight: 3193.0, Acceleration: 17.8, Model: 76, Origin: US>
<Car: AMC Rebel SST, MPG: 16.0, Cylinders: 8, Displacement: 304.0, Horsepower: 150.0, Weight: 3433.0, Acceleration: 12.0, Model: 70, Origin: US>
<Car: AMC Rebel SST (sw), MPG: 0.0, Cylinders: 8, Displacement: 360.0, Horsepower: 175.0, Weight: 3850.0, Acceleration: 11.0, Model: 70, Origin: US>
<Car: AMC Spirit DL, MPG: 27.4, Cylinders: 4, Displacement: 121.0, Horsepower: 80.0, Weight: 2670.0, Acceleration: 15.0, Model: 79, Origin: US>
<Car: Audi 100 LS, MPG: 24.0, Cylinders: 4, Displacement: 107.0, Horsepower: 90.0, Weight: 2430.0, Acceleration: 14.5, Model: 70, Origin: Europe>
<Car: Audi 100LS, MPG: 20.0, Cylinders: 4, Displacement: 114.0, Horsepower: 91.0, Weight: 2582.0, Acceleration: 14.0, Model: 73, Origin: Europe>
<Car: Audi 100LS, MPG: 23.0, Cylinders: 4, Displacement: 115.0, Horsepower: 95.0, Weight: 2694.0, Acceleration: 15.0, Model: 75, Origin: Europe>
<Car: Audi 4000, MPG: 34.3, Cylinders: 4, Displacement: 97.0, Horsepower: 78.0, Weight: 2188.0, Acceleration: 15.8, Model: 80, Origin: Europe>
<Car: Audi 5000, MPG: 20.3, Cylinders: 5, Displacement: 131.0, Horsepower: 103.0, Weight: 2830.0, Acceleration: 15.9, Model: 78, Origin: Europe>
<Car: Audi 5000s (diesel), MPG: 36.4, Cylinders: 5, Displacement: 121.0, Horsepower: 67.0, Weight: 2950.0, Acceleration: 19.9, Model: 80, Origin: Europe>
<Car: Audi Fox, MPG: 29.0, Cylinders: 4, Displacement: 98.0, Horsepower: 83.0, Weight: 2219.0, Acceleration: 16.5, Model: 74, Origin: Europe>
<Car: BMW 2002, MPG: 26.0, Cylinders: 4, Displacement: 121.0, Horsepower: 113.0, Weight: 2234.0, Acceleration: 12.5, Model: 70, Origin: Europe>
<Car: BMW 320i, MPG: 21.5, Cylinders: 4, Displacement: 121.0, Horsepower: 110.0, Weight: 2600.0, Acceleration: 12.8, Model: 77, Origin: Europe>
<Car: Buick Century, MPG: 17.0, Cylinders: 6, Displacement: 231.0, Horsepower: 110.0, Weight: 3907.0, Acceleration: 21.0, Model: 75, Origin: US>
<Car: Buick Century, MPG: 22.4, Cylinders: 6, Displacement: 231.0, Horsepower: 110.0, Weight: 3415.0, Acceleration: 15.8, Model: 81, Origin: US>
<Car: Buick Century 350, MPG: 13.0, Cylinders: 8, Displacement: 350.0, Horsepower: 175.0, Weight: 4100.0, Acceleration: 13.0, Model: 73, Origin: US>
<Car: Buick Century Limited, MPG: 25.0, Cylinders: 6, Displacement: 181.0, Horsepower: 110.0, Weight: 2945.0, Acceleration: 16.4, Model: 82, Origin: US>
<Car: Buick Century Luxus (sw), MPG: 13.0, Cylinders: 8, Displacement: 350.0, Horsepower: 150.0, Weight: 4699.0, Acceleration: 14.5, Model: 74, Origin: US>
<Car: Buick Century Special, MPG: 20.6, Cylinders: 6, Displacement: 231.0, Horsepower: 105.0, Weight: 3380.0, Acceleration: 15.8, Model: 78, Origin: US>
<Car: Buick Electra 225 Custom, MPG: 12.0, Cylinders: 8, Displacement: 455.0, Horsepower: 225.0, Weight: 4951.0, Acceleration: 11.0, Model: 73, Origin: US>
